ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",_dp_original,_wp_old_date,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",各グループ受賞者画像,各グループ受賞者画像キャプション,リダイレクト先,表紙画像,掲載記事情報,特集紹介文,サンプルPDF,表紙画像,誌面画像,特集見出し,特集名テキスト,読み物テキスト,HTMLエディタから入力,郵送申込み用PDF,クレジットカードでのお申込みURL,説明テキスト,開催日,開催時間,開催場所,開催内容,ブロック,連絡事務所,Googleマップ,サーバー内CSS,各項目ページ共通　ヘッダー画像,HTMLエディタから入力,カスタムCSS,犬種グループ説明文,展覧会出陳受付について,バナー画像（小）,バナー画像（大）,リンク先URL,バナークリック時の動作,お知らせ内画像（画像登録した場合、左側のお知らせ枠に表示されます）,リンク先URL,NEWアイコン,リンククリック時の動作,"「NEWS お知らせ」画面表示数",緊急時情報,犬種名（ひらがな）,犬種名（英表記）,原産地,用途,沿革,一般外貌,習性／性格,毛色,開催日,祝日表示,BTB,会場,事務所,電話番号,FAX番号,重要なお知らせ（上段に表示）,お知らせ（下段に表示）,カスタムCSS,コメント
9402,千葉会場,,,"2021-10-25 03:00:38",aikenshiiku,https://ojkc.eurekadesign-st.com/archives/aikenshiiku/9402,,,,,,,,,2021-06-15,private,2,jkc-koho@jkc.or.jp,jkc-koho@jkc.or.jp,JKC,広報課,%e6%9d%b1%e4%ba%ac%e4%bc%9a%e5%a0%b4,,,0,0,14,closed,closed,"2024-01-10 05:59:40",,,,,,,,,,,,,,,,"会場の都合上、先着 ●●●名様 までとさせていただきます。
<span class=""colorR"">受付開始：202● 年● 月● 日（●）到着分から。</span>
配達日指定郵便などをご利用ください。受付開始日に定員を超えるお申込みがあった場合、
その日をもって締切りとなります。また、開始日前の到着便は返却とさせていただきます。

<!-- 切り替えるときは、上に配置--締切後の文言として用意しておきます
<span class=""colorR"">
京都会場については、定員に達しましたので申込み受付を終了いたしました。
なお、たくさんのお申込みを頂いたため開催日については、予備日を含めた●月●日(●)・●日(●)の２日間開催といたします。
また、お申込み頂いた方には、受講・受験日を含めた案内通知を●月●日(●)に発送いたしました。</span>
-->",2021年12月14日（火）（予備日：12月15日（水））,午前10時〜午後5時（予定）,"習志野市・トーセイホテル＆セミナー幕張
   ( JR京葉線 新習志野駅から徒歩２分）
※会場へのアクセスは<a href=""https://tosei-hotelseminar.co.jp/makuhari/access/"" target=""_blank"">こちら&gt;&gt;&gt;</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9405,ひながた　新規追加用,,,"2019-09-20 06:05:08",aikenshiiku,https://ojkc.eurekadesign-st.com/archives/aikenshiiku/9405,,,,,,,,,,private,2,jkc-koho@jkc.or.jp,jkc-koho@jkc.or.jp,JKC,広報課,%e6%96%b0%e8%a6%8f%e8%bf%bd%e5%8a%a0%e7%94%a8,,,0,0,1,closed,closed,"2024-01-10 06:00:51",,,,,,,,,,,,,,,https://eipro.jp/jkc-aikenshiikukanrishi/,"会場の都合上、先着 ●●●名様 までとさせていただきます。
<span class=""colorR"">受付開始：202● 年● 月● 日（●）到着分から。</span>
配達日指定郵便などをご利用ください。受付開始日に定員を超えるお申込みがあった場合、
その日をもって締切りとなります。また、開始日前の到着便は返却とさせていただきます。

<!-- 切り替えるときは、上に配置--締切後の文言として用意しておきます
<span class=""colorR"">
京都会場については、定員に達しましたので申込み受付を終了いたしました。
なお、たくさんのお申込みを頂いたため開催日については、予備日を含めた●月●日(●)・●日(●)の２日間開催といたします。
また、お申込み頂いた方には、受講・受験日を含めた案内通知を●月●日(●)に発送いたしました。</span>
-->

会場の都合上、先着 ●●●名様 までとさせていただきます。
(上記の人数は、開催日1日についての人数です。受付初日に、この人数を超えるお申し込みがあった場合には、予備日にも開催をすることとし、適宜受付をいたします。)
<span class=""colorR"">●受付開始
　：郵送は、2022 年● 月●● 日（●）到着分から。郵送の場合は、配達日指定郵便などをご利用ください。
　：ウェブからのお申し込みは、● 月●● 日（●）　午前10時から受付開始、午後5時30分まで。
　　受付開始日に定員に達しなかった場合は、翌日午前10時から受付を開始します。
　　なお、受付開始から定員となり次第、受付終了としますので、ご了承ください。</span>
※ウェブからのお申込みボタンを押すと、予約専用サイトが開きます(クレジットカード決済のみ)。
※受付開始日に定員を超えるお申し込みがあった場合、その日をもって締切りとなります。
　また、受付開始の日時前のお申し込みはお受けできません。郵送到着便は返却とさせていただきます。
<!-- 切り替えるときは、上に配置https://eipro.jp/jkc-aikenshiikukanrishi/events
<p><span class=""colorR"">受付定員に達したため、2022年●月●●日に申込みを締め切りました。<br>ありがとうございました。</span>
　なお、申込者多数のため、2日間(●日・●日)での開催となりました。
　また、受講・受験される方へのご案内は、●●月●●日頃送付いたします。-->","2022年 ・月 ・日（・）（予備日：・月 ・日（・））",午前10時〜午後5時（予定）,"東京都千代田区・連合会館（旧 総評会館）
（千代田区神田駿河台 3-2-11、JR 御茶ノ水駅、地下鉄淡路町駅、地下鉄新御茶ノ水駅から 徒歩 3 ～ 5 分）
※会場へのアクセスは<a href=""http://www.kyumen.co.jp/rental/tenjin.html#"" target=""_blank"">こちら&gt;&gt;&gt;</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12535,広島会場,,,"2020-09-11 03:00:42",aikenshiiku,https://ojkc.eurekadesign-st.com/archives/aikenshiiku/12535,,,,,,,,9405,,private,2,jkc-koho@jkc.or.jp,jkc-koho@jkc.or.jp,JKC,広報課,%e5%ba%83%e5%b3%b6%e4%bc%9a%e5%a0%b4,,,0,0,17,closed,closed,"2024-01-10 06:00:14",,,,,,,,,,,,,,,,"会場の都合上、先着 ●●●名様 までとさせていただきます。
<span class=""colorR"">受付開始：202● 年● 月● 日（●）到着分から。</span>
配達日指定郵便などをご利用ください。受付開始日に定員を超えるお申込みがあった場合、
その日をもって締切りとなります。また、開始日前の到着便は返却とさせていただきます。

<!-- 切り替えるときは、上に配置--締切後の文言として用意しておきます
<span class=""colorR"">
京都会場については、定員に達しましたので申込み受付を終了いたしました。
なお、たくさんのお申込みを頂いたため開催日については、予備日を含めた●月●日(●)・●日(●)の２日間開催といたします。
また、お申込み頂いた方には、受講・受験日を含めた案内通知を●月●日(●)に発送いたしました。</span>
-->","2021 年2月9日( 火)（予備日 : 2月10 日（水））",午前10時〜午後5時（予定）,"広島市・広島市文化交流会館
　（ JR広島駅からバスあるいはタクシー利用）
 ※会場へのアクセスは<a href=""https://h-bkk.jp/access/"" target=""_blank"">こちら&gt;&gt;&gt;</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12719,東京会場,,,"2022-07-13 02:00:19",aikenshiiku,https://ojkc.eurekadesign-st.com/archives/aikenshiiku/12719,,,,,,,http://ojkc.eurekadesign-st.com/wp-content/uploads/form_dogcare158.pdf|http://ojkc.eurekadesign-st.com/wp-content/uploads/form_dogcare162.pdf,9402,2020-10-19|2021-07-15|2021-10-25,private,2,jkc-koho@jkc.or.jp,jkc-koho@jkc.or.jp,JKC,広報課,%e5%90%8d%e7%a7%b0%e6%9c%aa%e8%a8%ad%e5%ae%9a-2,,,0,0,4,closed,closed,"2024-08-29 01:21:48",,,,,,,,,,,,,,,,"<div class=""txtbox bg_yellow""><h2>【緊急のお知らせ】</h2>
8月27日（火）、28日（水）実施予定の東京会場は今後の台風10号の進路状況によっては接近(上陸)が予想されますが、現時点(23日 15:30)では予定通り実施することといたします。
ただし、台風接近(上陸)という、不測の状況に鑑み、受験受講者の安全を確保するため、次のような対応を実施いたします。

１．受講・受験日の日程変更は各日の席数(若干数)がある限りご対応いたします、また、公共交通機関の大幅な遅延や安全確保のため受験日当日にキャンセルされた場合でも返金を行います。
２．東京会場の受験者に限り、希望者には他会場への振替え(名古屋会場(９月19日(木))・埼玉会場(11月28日(木)または11月29日(金))を行います。

上記「1」または「2」を希望される受験者の方は、既に送付済みの「「愛犬飼育管理士」講習会・試験の開催について(ご案内)」に記載されている、メールアドレスか電話番号にご連絡下さい。平日　9：30-17：30　（土日祝は業務時間外）</div>
<span class=""colorR"">東京会場については、定員に達しましたので申込受付を終了いたしました。
なお、たくさんのお申込みを頂いたため開催日については、予備日を含めた８月２７日(火)・２８日(水)の２日間開催といたします。
また、お申込みいただいた方には、受講・受験日を含めた案内通知を７月31日(水)に発送しました。</span>

<!--会場の都合上、先着 200名様 までとさせていただきます。
<span class=""colorR"">受付開始：2024年7 月23 日（火）到着分から。</span>
配達日指定郵便などをご利用ください。受付開始日に定員を超えるお申込みがあった場合、その日をもって締切りとなります。また、開始日前の到着便は返却とさせていただきます。</span>-->
","2024 年 8 月 27 日（火）（予備日： 8 月 28 日（水））",午前10時〜午後5時（予定）,"東京都千代田区・連合会館
（JR中央線・総武線「御茶ノ水駅」、地下鉄東京メトロ千代田線「新御茶ノ水駅」、東京メトロ丸ノ内線「淡路町駅」、都営地下鉄新宿線「小川町駅」より 徒歩 0～５分。）
※会場へのアクセスは<a href=""https://rengokaikan.jp/access/"" target=""_blank"">こちら&gt;&gt;&gt;</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14422,札幌会場,,,"2022-05-10 01:10:47",aikenshiiku,https://ojkc.eurekadesign-st.com/archives/aikenshiiku/14422,,,,,,,,9405,2021-03-15|2021-04-14,private,2,jkc-koho@jkc.or.jp,jkc-koho@jkc.or.jp,JKC,広報課,%e6%9c%ad%e5%b9%8c%e4%bc%9a%e5%a0%b4,,,0,0,10,closed,closed,"2024-01-10 05:58:25",,,,,,,,,,,,,,,,"会場の都合上、先着 ●●●名様 までとさせていただきます。
<span class=""colorR"">受付開始：202● 年● 月● 日（●）到着分から。</span>
配達日指定郵便などをご利用ください。受付開始日に定員を超えるお申込みがあった場合、
その日をもって締切りとなります。また、開始日前の到着便は返却とさせていただきます。

<!-- 切り替えるときは、上に配置--締切後の文言として用意しておきます
<span class=""colorR"">
京都会場については、定員に達しましたので申込み受付を終了いたしました。
なお、たくさんのお申込みを頂いたため開催日については、予備日を含めた●月●日(●)・●日(●)の２日間開催といたします。
また、お申込み頂いた方には、受講・受験日を含めた案内通知を●月●日(●)に発送いたしました。</span>
-->","2022年 9月 15日（木）（１日開催となります）",午前10時〜午後5時（予定）,"札幌市・会議・研修施設ACU
（JR 札幌駅徒歩5 分・地下鉄さっぽろ駅徒歩3 分）
※会場へのアクセスは<a href=""https://www.acu-h.jp/sapporo/"" target=""_blank"">こちら&gt;&gt;&gt;</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14423,大阪会場,,,"2023-02-01 07:00:36",aikenshiiku,https://ojkc.eurekadesign-st.com/archives/aikenshiiku/14423,,,,,,,http://ojkc.eurekadesign-st.com/wp-content/uploads/form_dogcare155.pdf|http://ojkc.eurekadesign-st.com/wp-content/uploads/form_dogcare155-02.pdf|http://ojkc.eurekadesign-st.com/wp-content/uploads/form_dogcare161.pdf,9405,2021-03-15|2021-12-20,private,2,jkc-koho@jkc.or.jp,jkc-koho@jkc.or.jp,JKC,広報課,%e5%90%8d%e7%a7%b0%e6%9c%aa%e8%a8%ad%e5%ae%9a-3,,,0,0,2,closed,closed,"2024-05-27 02:23:32",,,,,,,,,,,,,,,,"<span class=""colorR"">大阪会場については、定員に達しましたので申込受付を終了いたしました。
なお、たくさんのお申込みを頂いたため開催日については、予備日を含めた5月23日(木)・24日(金)の2日間開催といたします。
また、お申込みいただいた方には、受講・受験日を含めた案内通知を4月25日(木)に発送しました。 </span>
<!--会場の都合上、先着 250名様 までとさせていただきます。
<span class=""colorR"">受付開始：2024 年4 月16 日（火）到着分から。</span>
配達日指定郵便などをご利用ください。受付開始日に定員を超えるお申込みがあった場合、その日をもって締切りとなります。また、開始日前の到着便は返却とさせていただきます。-->","2024 年 5 月 23 日（木） （予備日：5 月 24 日（金））",午前10時〜午後5時（予定）,"大阪市中央区・ツイン21ＭＩＤタワー会議室
（JR大阪環状線、JR東西線、京阪本線「京橋」駅より徒歩5分、地下鉄長堀鶴見緑地線「大阪ビジネスパーク」駅より徒歩1分)
※会場へのアクセスは<a href=""https://www.kanden-kaijyou.jp/"" target=""_blank"">こちら&gt;&gt;&gt;</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14424,長野会場,,,"2021-03-15 06:48:45",aikenshiiku,https://ojkc.eurekadesign-st.com/archives/aikenshiiku/14424,,,,,,,,9405,,private,2,jkc-koho@jkc.or.jp,jkc-koho@jkc.or.jp,JKC,広報課,%e5%90%8d%e7%a7%b0%e6%9c%aa%e8%a8%ad%e5%ae%9a-4,,,0,0,16,closed,closed,"2024-01-10 06:00:03",,,,,,,,,,,,,,,,"会場の都合上、先着 ●●●名様 までとさせていただきます。
<span class=""colorR"">受付開始：202● 年● 月● 日（●）到着分から。</span>
配達日指定郵便などをご利用ください。受付開始日に定員を超えるお申込みがあった場合、
その日をもって締切りとなります。また、開始日前の到着便は返却とさせていただきます。

<!-- 切り替えるときは、上に配置--締切後の文言として用意しておきます
<span class=""colorR"">
京都会場については、定員に達しましたので申込み受付を終了いたしました。
なお、たくさんのお申込みを頂いたため開催日については、予備日を含めた●月●日(●)・●日(●)の２日間開催といたします。
また、お申込み頂いた方には、受講・受験日を含めた案内通知を●月●日(●)に発送いたしました。</span>
-->","2021年 7月 6日（火）（予備日：7月 7日（水））",午前10時〜午後5時（予定）,"長野市・JA 長野県ビル
（長野駅から徒歩10 分)
※会場へのアクセスは<a href=""https://www.naganoken-jabill.co.jp/access/"" target=""_blank"">こちら&gt;&gt;&gt;</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14425,仙台会場,,,"2022-02-17 06:00:53",aikenshiiku,https://ojkc.eurekadesign-st.com/archives/aikenshiiku/14425,,,,,,,http://ojkc.eurekadesign-st.com/wp-content/uploads/form_dogcare164.pdf,9405,,private,2,jkc-koho@jkc.or.jp,jkc-koho@jkc.or.jp,JKC,広報課,%e5%90%8d%e7%a7%b0%e6%9c%aa%e8%a8%ad%e5%ae%9a-5,,,0,0,6,closed,closed,"2024-10-09 03:53:50",,,,,,,,,,,,,,,,"<span class=""colorR"">仙台会場については、定員に達しましたので申込受付を終了いたしました。たくさんのお申込みありがとございました。
また、お申込みいただいた方には、受講・受験を含めた案内通知を９月１３日ごろに発送する予定です。 </span>
<!--会場の都合上、先着 180名様 までとさせていただきます。
<span class=""colorR"">受付開始：2024年 9 月 3 日（火）到着分から。</span>
配達日指定郵便などをご利用ください。受付開始日に定員を超えるお申込みがあった場合、その日をもって締切りとなります。また、開始日前の到着便は返却とさせていただきます。</span>-->
","2024 年 10 月 8 日（火）",午前10時〜午後5時（予定）,"仙台市・ハーネル仙台
（仙台駅徒歩15 分、市営地下鉄広瀬駅徒歩3 分、など)
※会場へのアクセスは<a href=""http://www.heanel.jp/access"" target=""_blank"">こちら&gt;&gt;&gt;</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14670,京都会場,,,"2024-03-19 01:00:45",aikenshiiku,https://ojkc.eurekadesign-st.com/archives/aikenshiiku/14670,,,,,,,http://ojkc.eurekadesign-st.com/wp-content/uploads/form_dogcare157.pdf|http://ojkc.eurekadesign-st.com/wp-content/uploads/form_dogcare166.pdf|http://ojkc.eurekadesign-st.com/wp-content/uploads/form_dogcare166-1.pdf|http://ojkc.eurekadesign-st.com/wp-content/uploads/form_dogcare166_3.pdf,9405,,publish,2,jkc-koho@jkc.or.jp,jkc-koho@jkc.or.jp,JKC,広報課,%e4%ba%ac%e9%83%bd%e4%bc%9a%e5%a0%b4-2,,,0,0,8,closed,closed,"2024-11-07 05:45:40",,,,,,,,,,,,,,,,"<span class=""colorR"">京都会場については、定員に達しましたので申込受付を終了いたしました。
なお、たくさんのお申込みを頂いたため、開催日については予備日を含めた12月９日(月)・10日(火)の２日間開催といたします。
また、お申込みいただいた方には、受講・受験日を含めた案内通知を11月15日頃に発送する予定です。 
 </span>","2024 年12 月9 日（月）　（予備日：12 月10 日（火））",午前10時〜午後5時（予定）,"京都市・京都ＪＡビル
（JR京都駅・近鉄京都駅・市営地下鉄烏丸線京都駅いずれも八条口より徒歩約５分～７分、市営地下鉄烏丸線九条駅から徒歩約４分）
※会場へのアクセスは<a href=""https://kyoto-ja-bldg.com/access/"" target=""_blank"">こちら&gt;&gt;&gt;</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14671,四国会場,,,"2021-07-28 08:00:55",aikenshiiku,https://ojkc.eurekadesign-st.com/archives/aikenshiiku/14671,,,,,,,,14670,,private,2,jkc-koho@jkc.or.jp,jkc-koho@jkc.or.jp,JKC,広報課,%e5%9b%9b%e5%9b%bd%e4%bc%9a%e5%a0%b4,,,0,0,15,closed,closed,"2024-01-10 05:59:51",,,,,,,,,,,,,,,,"会場の都合上、先着 ●●●名様 までとさせていただきます。
<span class=""colorR"">受付開始：202● 年● 月● 日（●）到着分から。</span>
配達日指定郵便などをご利用ください。受付開始日に定員を超えるお申込みがあった場合、
その日をもって締切りとなります。また、開始日前の到着便は返却とさせていただきます。

<!-- 切り替えるときは、上に配置--締切後の文言として用意しておきます
<span class=""colorR"">
京都会場については、定員に達しましたので申込み受付を終了いたしました。
なお、たくさんのお申込みを頂いたため開催日については、予備日を含めた●月●日(●)・●日(●)の２日間開催といたします。
また、お申込み頂いた方には、受講・受験日を含めた案内通知を●月●日(●)に発送いたしました。</span>
-->",2021年8月30日（月）（予備日：8月31日（火））,午前10時〜午後5時（予定）,"徳島市・あわぎんホール（徳島県郷土文化会館）
（徳島駅から徒歩8分)
※会場へのアクセスは<a href=""https://www.kyoubun.or.jp/index.html"" target=""_blank"">こちら&gt;&gt;&gt;</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
