並び,地域,機関,機関名,役職,名前,所在地,電話番号,URL,分院名,所在地,電話番号,URL
1,北海道,トリマー指定機関,学校法人工藤学園　愛犬美容看護専門学校,理事長,中川 佳代子,〒064-0809　北海道札幌市中央区南九条西七丁目1-31,011-512-7744,https://www.aiken-s.ac.jp/,,,,
2,関東,トリマー指定機関,学校法人スカイ中村学園　スカイ総合ペット専門学校,校長,中村 正和,〒270-1167　千葉県我孫子市台田4-1-41,04-7197-7333,http://sky.ac.jp,,,,
3,関東,トリマー指定機関,学校法人東京愛犬学園　東京愛犬専門学校,理事長,窪田 賢二,〒164-0002　東京都中野区上高田1-1-1,03-3366-2322,http://www.aiken.ac.jp/,,,,
4,関東,トリマー指定機関,SJDドッググルーミングスクール,代表,鈴木 雅実,〒150-0002　東京都渋谷区渋谷3-10-15　川名ビルB1,03-3486-0395,http://www.sjd.co.jp/,大宮分院,〒338-0003　埼玉県さいたま市中央区本町東1-2-1,048-855-9603,
5,関東,トリマー指定機関,横浜トリミングスクール,代表,篠﨑（しのざき） 紘一,〒222-0033　神奈川県横浜市港北区新横浜2-17-1,045-472-1126,http://www.yokohama-trimming.com/,,,,
6,中部・関西,トリマー指定機関,静岡グルーミングスクール,代表,阿部 裕美,〒420-0845　静岡県静岡市葵区太田町36,054-246-6680,http://www.sizuoka-grooming-school.com/,,,,
7,中部・関西,トリマー指定機関,ロイヤルグルーミング学院,学院長,中野 勝美,〒550-0005　大阪府大阪市西区西本町1丁目14-22,06-4391-3825,http://osaka-royal.com/,神戸分院,〒650-0013　兵庫県神戸市中央区花隈町32-9,078-382-1041,http://www.kobe-royal.co.jp/
8,中部・関西,トリマー指定機関,ナンバペット美容学院,代表,宮川 隆博,〒542-0074　大阪府大阪市中央区千日前2-3-3,06-6646-6001,http://www.nanba-pet.com/,静岡分院,〒427-0053　静岡県島田市御仮屋町8804-4,0547-37-4373,http://www.nanba-pet-sz.com/
9,九州,トリマー指定機関,九州サンシャインドッググルーミングスクール,代表,佐々 佳呉子,〒860-0805　熊本県熊本市中央区桜町5-6,096-353-5161,http://kyushu-sunshine.com/,,,,
10,東北,トリマー研修機関,学校法人孔明学園　東北愛犬専門学校,学院長,牧野 なぎさ,〒983-0852　宮城県仙台市宮城野区榴岡5-12-10,022-792-3433,http://www.t-aiken.com/,,,,
11,関東,トリマー研修機関,アートグルーミングスクール,代表,深町 政彦,〒372-0833　群馬県伊勢崎市富塚町269-7,0270-32-0666,http://www.toyomasa.com/,,,,
12,関東,トリマー研修機関,学校法人HAC国際学園　群馬動物専門学校,代表,星野 貴,〒371-0846　群馬県前橋市元総社町108,027-252-3330,http://www.worlddog.co.jp/,,,,
