項目,名前,ひらがな
オス,ABALARD,アベラ－ド
オス,ABBA,アバ
オス,ABBO,アボ
オス,ABBOT,アボット
オス,ABEL,アベル
オス,ABNER,アブナ－
オス,ABRAHAM,アブラハム
オス,ABRAM,アブラム
オス,ABSALOM,アブサロム
オス,ABUBEKR,アブ－ベクル
オス,ACADEMY,アカデミ－
オス,ACAPULCO,アカプルコ
オス,ACCEL,アクセル
オス,ACCESS,アクセス
オス,ACCORDION,アコ－ディオン
オス,ACHAB,アカブ
オス,ACHAZ,アカズ
オス,ACHERON,アケロン
オス,ACHILLES,アキレス
オス,ACROBAT,アクロバット
オス,ACTEON,アクテオン
オス,ACTION,アクション
オス,ADALO,アダロ
オス,ADAM,アダム
オス,ADAMANT,アダマント
オス,ADAMITE,アダマイト
オス,ADIEU,アデュ－
オス,ADISON,アディソン
オス,ADJUTANT,アドジュタント
オス,ADMIRAL,アドミラル
オス,ADO,アド
オス,ADOLF,アドルフ
オス,ADONIS,アドニス
オス,ADOR,アド－ル
オス,ADORIAN,アドリアン
オス,ADORIANO,アドリア－ノ
オス,ADRAST,アドラスト
オス,ADULT,アダルト
オス,ADVENTURE,アドベンチャ－
オス,ADVERTISER,アドバタイザ－
オス,ADVISER,アドバイザ－
オス,ADVOCATOR,アドバケイタ－
オス,ADWIN,アドウイン
オス,AEGIS,イ－ジス
オス,AENEAS,イ－ニアス
オス,AEOLIAN,イ－オウリアン
オス,AEOLUS,イオラス
オス,AEROBOAT,アエロボ－ト
オス,AEROLITE,アエロライト
オス,AESCHYLUS,イ－スキラス
オス,AESOP,イソップ
オス,AFREET,アフリ－ト
オス,AFTER,アフタ－
オス,AGA,ア－ガ
オス,AGAMEMNON,アガメムノン
オス,AGENT,エ－ジェント
オス,AGESILAS,アジェジラ－ズ
オス,AGGEE,アグジェ
オス,AGGRESSOR,アグレッサ－
オス,AGIDE,エギデ
オス,AGILMAR,アギルマ－ル
オス,AGIR,エイギル
オス,AGIS,アギス
オス,AGITATOR,アジテイタ－
オス,AGNESE,アグネ－ゼ
オス,AGNON,アグノン
オス,AGRONOMIST,アグロナミスト
オス,AHAB,エイハブ
オス,AIDE,エイド
オス,AJAX,アジャックス
オス,AL,アル
オス,ALADDIN,アラジン
オス,ALAN,アラン
オス,ALARICH,アラリッヒ
オス,ALARM,アラ－ム
オス,ALBA,アルバ
オス,ALBERT,アルバ－ト
オス,ALBION,アルビオン
オス,ALCAIC,アルケイ－ク
オス,ALCHEMIST,アルケミスト
オス,ALDERMAN,オ－ルダマン
オス,ALDO,アルド
オス,ALDOUS,オルダス
オス,ALECK,アレック
オス,ALEX,アレックス
オス,ALEXANDER,アレキサンダ－
オス,ALF,アルフ
オス,ALFARO,アルフアロ
オス,ALFRED,アルフレッド
オス,ALGAZEL,アルガゼル
オス,ALIBABA,アリババ
オス,ALISON,アリスン
オス,ALLAH,アラ－
オス,ALLEGRETTO,アレグレット
オス,ALLEGRO,アレグロ
オス,ALLEN,アレン
オス,ALLENBY,アレンビ－
オス,ALLEY,アレ－
オス,ALLISON,アリソン
オス,ALLROUNDER,オ－ルラウンダ－
オス,ALLUSION,アリュ－ジョン
オス,ALMEIDA,アルメイダ
オス,ALMIN,アルミン
オス,ALMSGIVER,ア－ムズギバ－
オス,ALOHA,アロハ
オス,ALPACINO,アルパシ－ノ
オス,ALPEN,アルペン
オス,ALPHA,アルファ
オス,ALPHAROMEO,アルファロメオ
オス,ALPHEE,アルフェ
オス,ALPHEUS,アルフィ－アス
オス,ALPINIST,アルピニスト
オス,ALRAUN,アルラウン
オス,ALTAIR,アルタイア
オス,ALTO,アルト
オス,ALUMNUS,アラムナス
オス,ALVARADO,アルバラ－ド
オス,ALVARES,アルバレス
オス,ALZENA,アルゼナ
オス,AMALECITES,アマレシツ
オス,AMAN,アマン
オス,AMARANTH,アマランス
オス,AMARIS,アマリス
オス,AMARIST,アマリスト
オス,AMBASSADER,アンバサダ－
オス,AMBER,アンバ－
オス,AMBITION,アンビション
オス,AMBITIOUS,アンビシャス
オス,AMBIVERT,アンビバ－ト
オス,AMBLER,アンブラ－
オス,AMBROSIUS,アンブロシアス
オス,AMBUSH,アンブッシュ
オス,AMIGO,アミ－ゴ
オス,AMIN,アミン
オス,AMMONITES,アモニット
オス,AMO,アモ－
オス,AMOR,アモ－ル
オス,AMORITER,アモリタ－
オス,AMOS,エイモス
オス,AMPHISBAENA,アムフィスビ－ナ
オス,AMPHITRYON,アンフィトリオン
オス,ANACREON,アナクリアン
オス,ANALOGIST,アナラジスト
オス,ANALYST,アナリスト
オス,ANANIAS,アナニアス
オス,ANCESTOR,アンセスタ－
オス,ANCHISE,アンシ－ズ
オス,ANCHOR,アンカ－
オス,ANCHORITE,アンカライト
オス,ANDALUSIA,アンダルシア
オス,ANDEAN,アンディアン
オス,ANDERSON,アンダ－ソン
オス,ANDO,アンド
オス,ANDORA,アンドラ
オス,ANDREAS,アンドレアス
オス,ANDREW,アンドリュ－
オス,ANDROMAQUE,アンドロマク
オス,ANDY,アンディ
オス,ANEAS,アイニアス
オス,ANGLE,アングル
オス,ANGLICIST,アングリシスト
オス,ANGUS,アンガス
オス,ANIMIST,アニミスト
オス,ANSELM,アンセルム
オス,ANSWERER,アンサラ－
オス,ANTAEUS,アンテアウス
オス,ANTARES,アンタレス
オス,ANTONIUS,アントニウス
オス,ANTONY,アントニ－
オス,APACHE,アパッチ
オス,APEX,アペックス
オス,APHORIST,アフアリスト
オス,APIA,アピア
オス,APITHY,アピティ
オス,APOLLINARIS,アポリナリス
オス,APOLLO,アポロ
オス,APOLLON,アポロン
オス,APOLLYON,アポリヤン
オス,APOLOGIST,アポラジスト
オス,ANTELOPE,アンテロ－フ
オス,ANTHONY,アンソニ－
オス,ANTOINE,アントワ－ヌ
オス,APORIA,アポリア
オス,APPARITOR,アパリタ－
オス,APPEAL,アピ－ル
オス,APPELLANT,アペラント
オス,APPLAUSE,アプロ－ス
オス,APPEL,アペル
オス,APPLETON,アプルトン
オス,APPLICANT,アプリキャント
オス,APPOINTEE,アポインティ
オス,APPRECIATOR,アプリ－シェイタ－
オス,APPRENTICE,アプレンティス
オス,APPROACH,アプロ－チ
オス,APPROVER,アプル－バ－
オス,APRIL,エイプリル
オス,AQUA,アクア
オス,ARAGON,アラゴン
オス,ARBITER,ア－ビタ－
オス,ARBO,アルボ
オス,ARC,ア－ク
オス,ARCH,ア－チ
オス,ARCHBISHOP,ア－チビショップ
オス,ARCHER,ア－チャ－
オス,ARCHERY,ア－チェリ－
オス,ARCHIMEDES,アルキメデス
オス,ARCHON,ア－カン
オス,ARES,アレス
オス,ARGO,アルゴ
オス,ARGUS,ア－ガス
オス,ARIEL,エ－リエル
オス,ARIES,アリエス
オス,ARISTOCRAT,アリストクラット
オス,ARISTOTELES,アリストテレス
オス,ARM,ア－ム
オス,ARMOUR,ア－マ－
オス,ARMSTRONG,ア－ムストロング
オス,ARNO,アルノ
